VerseID,Matrix,Column,Word,Hand,Version,Error
66022021,0G3SBL,0,Ἡ,,,
66022021,0G3SBL,1,χάρις,,,
66022021,0G3SBL,2,τοῦ,,,
66022021,0G3SBL,3,κυρίου,,,
66022021,0G3SBL,5,Ἰησοῦ,,,
66022021,0G3SBL,7,μετὰ,,,
66022021,0G3SBL,8,πάντων.,,,
66022021,0G4SR,0,¶Ἡ,,,
66022021,0G4SR,1,χάρις,,,
66022021,0G4SR,2,τοῦ,,,
66022021,0G4SR,3,˚Κυρίου,,,
66022021,0G4SR,5,˚Ἰησοῦ,,,
66022021,0G4SR,7,μετὰ,,,
66022021,0G4SR,9,τῶν,,,
66022021,0G4SR,10,ἁγίων.,,,
66022021,0G4SR,12,Ἀμήν!,,,
66022021,0G4TH,0,¶Ἡ,,,
66022021,0G4TH,1,χάρις,,,
66022021,0G4TH,2,τοῦ,,,
66022021,0G4TH,3,κυρίου,,,
66022021,0G4TH,5,Ἰησοῦ,,,
66022021,0G4TH,7,μετὰ,,,
66022021,0G4TH,9,τῶν,,,
66022021,0G4TH,10,ἁγίων.,,,
66022021,0G4TH,12,ἀμήν.,,,
66022021,0G5RP,0,Ἡ,,,
66022021,0G5RP,1,χάρις,,,
66022021,0G5RP,2,τοῦ,,,
66022021,0G5RP,3,κυρίου,,,
66022021,0G5RP,5,Ἰησοῦ,,,
66022021,0G5RP,6,χριστοῦ,,,
66022021,0G5RP,7,μετὰ,,,
66022021,0G5RP,8,πάντων,,,
66022021,0G5RP,9,τῶν,,,
66022021,0G5RP,10,ἁγίων.,,,
66022021,0G5RP,12,Ἀμήν.,,,
66022021,0G6ST,0,ἡ,,,
66022021,0G6ST,1,χάρις,,,
66022021,0G6ST,2,τοῦ,,,
66022021,0G6ST,3,Κυρίου,,,
66022021,0G6ST,4,ἡμῶν,,,
66022021,0G6ST,5,Ἰησοῦ,,,
66022021,0G6ST,6,Χριστοῦ,,,
66022021,0G6ST,7,μετὰ,,,
66022021,0G6ST,8,πάντων,,,
66022021,0G6ST,11,ὑμῶν.,,,
66022021,0G6ST,12,Ἀμήν.,,,
66022021,1G20001,0,η,,,
66022021,1G20001,1,χαρισ,,,
66022021,1G20001,2,του,,,
66022021,1G20001,3,=κυ,,,
66022021,1G20001,5,=ιυ,,,
66022021,1G20001,7,μετα,,,
66022021,1G20001,9,των,,,
66022021,1G20001,10,αγιων,,,
66022021,1G20001,12,αμην,,,
66022021,0G2NA,0,η,,,
66022021,0G2NA,1,χαρις,,,
66022021,0G2NA,2,του,,,
66022021,0G2NA,3,κυριου,,,
66022021,0G2NA,5,ιησου,,,
66022021,0G2NA,7,μετα,,,
66022021,0G2NA,8,παντων,,,
66022021,0G1WH,0,Ἡ,,,
66022021,0G1WH,1,χάρις,,,
66022021,0G1WH,2,τοῦ,,,
66022021,0G1WH,3,κυρίου,,,
66022021,0G1WH,5,Ἰησοῦ,,,
66022021,0G1WH,6,[Χριστοῦ],,,
66022021,0G1WH,7,μετὰ,,,
66022021,0G1WH,9,τῶν,,,
66022021,0G1WH,10,ἁγίων.,,,
66022021,0G4BHP,0,¶ἡ,,,
66022021,0G4BHP,1,χάρις,,,
66022021,0G4BHP,2,τοῦ,,,
66022021,0G4BHP,3,˚Κυρίου,,,
66022021,0G4BHP,5,˚Ἰησοῦ,,,
66022021,0G4BHP,7,μετὰ,,,
66022021,0G4BHP,9,τῶν,,,
66022021,0G4BHP,10,ἁγίων.,,,
66022021,0G4BHP,12,ἀμήν!,,,
66022021,0G7KJTR,0,Ἡ,,,
66022021,0G7KJTR,1,χάρις,,,
66022021,0G7KJTR,2,τοῦ,,,
66022021,0G7KJTR,3,Κυρίου,,,
66022021,0G7KJTR,4,ημῶν,,,
66022021,0G7KJTR,5,Ἰησοῦ,,,
66022021,0G7KJTR,6,Χριστοῦ,,,
66022021,0G7KJTR,7,μετὰ,,,
66022021,0G7KJTR,8,πάντων,,,
66022021,0G7KJTR,11,ὑμῶν.,,,
66022021,0G7KJTR,12,Ἀμήν.,,,
66022021,1G20002,0,η,,,
66022021,1G20002,1,χαρισ,,,
66022021,1G20002,2,του,,,
66022021,1G20002,3,=κυ,,,
66022021,1G20002,5,=ιυ,,,
66022021,1G20002,7,μετα,,,
66022021,1G20002,8,παντων,,,
66022021,0G0SR,0,¶Ἡ,,,
66022021,0G0SR,1,χάρις,,,
66022021,0G0SR,2,τοῦ,,,
66022021,0G0SR,3,˚Κυρίου,,,
66022021,0G0SR,5,˚Ἰησοῦ,,,
66022021,0G0SR,7,μετὰ,,,
66022021,0G0SR,9,τῶν,,,
66022021,0G0SR,10,ἁγίων.,,,
66022021,0G0SR,12,Ἀμήν!,,,
